black_method,white_method,black_score,white_score,black_read_goal,white_read_goal,seed
random,nLeast,18,46,1,2,65
random,nLeast,41,23,1,2,66
random,nLeast,33,31,1,2,67
random,nLeast,10,54,1,2,68
random,nLeast,10,54,1,2,69
random,nLeast,45,19,1,2,70
random,nLeast,18,46,1,2,71
random,nLeast,51,13,1,2,72
random,nLeast,16,48,1,2,73
random,nLeast,52,12,1,2,74
random,nLeast,35,28,1,2,75
random,nLeast,34,30,1,2,76
random,nLeast,0,56,1,2,77
random,nLeast,41,23,1,2,78
random,nLeast,45,19,1,2,79
random,nLeast,1,60,1,2,80
random,nLeast,32,32,1,2,81
random,nLeast,43,21,1,2,82
random,nLeast,32,32,1,2,83
random,nLeast,50,14,1,2,84
random,nLeast,16,48,1,2,85
random,nLeast,0,57,1,2,86
random,nLeast,29,35,1,2,87
random,nLeast,56,6,1,2,88
random,nLeast,32,32,1,2,89
random,nLeast,25,38,1,2,90
random,nLeast,6,58,1,2,91
random,nLeast,45,19,1,2,92
random,nLeast,45,19,1,2,93
random,nLeast,0,45,1,2,94
random,nLeast,23,41,1,2,95
random,nLeast,0,46,1,2,96
random,nLeast,24,40,1,2,97
random,nLeast,49,15,1,2,98
random,nLeast,32,32,1,2,99
random,nMost,35,29,1,1,0
random,nMost,27,36,1,1,1
random,nMost,34,30,1,1,2
random,nMost,50,14,1,1,3
random,nMost,30,34,1,1,4
random,nMost,33,31,1,1,5
random,nMost,38,26,1,1,6
random,nMost,44,20,1,1,7
random,nMost,39,25,1,1,8
random,nMost,21,43,1,1,9
random,nMost,44,20,1,1,10
random,nMost,27,37,1,1,11
random,nMost,39,25,1,1,12
random,nMost,29,35,1,1,13
random,nMost,8,56,1,1,14
random,nMost,26,38,1,1,15
random,nMost,37,27,1,1,16
random,nMost,16,48,1,1,17
random,nMost,27,37,1,1,18
random,nMost,27,37,1,1,19
random,nMost,48,16,1,1,20
random,nMost,43,21,1,1,21
random,nMost,28,36,1,1,22
random,nMost,29,35,1,1,23
random,nMost,30,34,1,1,24
random,nMost,23,41,1,1,25
random,nMost,25,39,1,1,26
random,nMost,44,20,1,1,27
random,nMost,25,39,1,1,28
random,nMost,46,18,1,1,29
random,nMost,26,38,1,1,30
random,nMost,25,39,1,1,31
random,nMost,22,42,1,1,32
random,nMost,31,33,1,1,33
random,nMost,26,38,1,1,34
random,nMost,51,13,1,1,35
random,nMost,28,36,1,1,36
random,nMost,47,17,1,1,37
random,nMost,29,35,1,1,38
random,nMost,42,22,1,1,39
random,nMost,36,28,1,1,40
